;id;budget_EUR;local_currency;budget_LOCAL
0;ad74e8a6-5d25-4c1e-a91e-84d740d4acdb;102.6869139810088;MWK;106089.70159305449
1;dc3ab410-3d40-4b7b-81a8-07b2e6af4932;969.405048109958;GIP;850.1682271924332
2;38f5d460-232a-461c-b6ae-267c184fc0bd;894.7313851102089;SBD;7167.6931261178825
3;c7e438ac-2c99-4d87-a356-676b6062e77d;895.1944358135232;GNF;7697090.966064323
4;dd32e982-c764-419b-8699-522253510b63;106.47752766353368;EGP;2061.2132760162176
5;d8cbe78b-87d3-450e-b18f-79633f803e2f;361.8904433423608;JEP;317.3779188112504
6;58a6d690-9d39-4393-947e-4a7c1202de4f;194.9651553808144;CLP;179444.34979474297
7;15e15cbd-a3b4-42de-90e8-71399d3739a0;674.5608269827513;NOK;6891.2459523730895
8;ed67b953-ce71-4952-93bf-7ae46fd3cc73;635.5789193312133;XOF;416912.4411877447
9;3ee7edcb-6b45-485d-bd7a-da17576d56aa;885.6096214848591;BIF;1795406.1273420912
10;5f41ff33-f00b-4e69-8919-c6a38b232e50;170.20626648429672;OMR;65.46133008986052
11;b73d45f4-e0ce-4ff3-9fc7-304309ee1df1;228.2370189673764;GNF;1962435.2280728351
12;4482e8ac-0cde-4fc3-9c49-8062d1957064;11.559259352363016;RSD;1355.8641324022542
13;d1a018e2-0da8-493e-b257-603099b0ab1d;800.1772147319867;MZN;50971.12854298461
14;d88e5dba-14da-4003-a893-931f8c9d636e;62.71495647372704;AFN;5504.980906359518
15;8d60dcfe-f320-4bd3-b545-bc2436bc91c8;654.8401042071783;ZAR;11546.795557485175
16;7cc7a344-563d-4462-8069-f52163e09abc;666.4707820212694;QAR;2426.55347026124
17;af52e756-285e-4cb7-87b1-e3c1d2233dce;781.7776846748111;CNY;5478.072592053337
18;795a1053-89fd-4e19-804c-199fd16313cb;545.3431123839655;GEL;1537.1586308766837
19;a50c1858-21e5-42b7-ab9e-766c819d47b6;164.05452665090414;BND;230.56223175518068
20;fef92f7b-f08c-4c7c-8c54-4674ff97cd9e;322.6785026057779;XDR;248.94646476035766
